,Unnamed: 0,url,lat,lng,name,formatted_address,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
58,ChIJP0Yvj9Y6lkYRCToH-FKe_KU,https://maps.google.com/?cid=11960608789574924809,59.83285359999999,30.2910624,Предпортовая,"Санкт-Петербург, Россия, 196240",0,0,0,0,0,7,20,38,60,81,95,100,96,88,79,68,57,45,32,20,11,4,0,0
59,ChIJm1vtWsQjlkYR-pYomD-BIpU,https://maps.google.com/?cid=10746293770995144442,59.73175020000001,30.339482699999998,Александровская,"Санкт-Петербург, Россия, 196605",0,0,0,0,0,0,23,67,80,46,8,0,0,13,27,40,50,54,51,43,31,19,8,0
60,ChIJi8u74aMYlkYRJxrheR1dEPc,https://maps.google.com/?cid=17802831708175800871,59.677333499999996,30.2588748,Лесное (29 км),"Санкт-Петербург, Россия, 196632",0,0,0,0,15,23,30,38,46,38,30,15,0,0,0,0,7,23,23,15,0,0,0,0
61,ChIJraHpboEblkYRQTq3CG82k0c,https://maps.google.com/?cid=5157525848784845377,59.565273899999994,30.13980269999999,Татьянино,"Гатчина, Ленинградская обл., Россия, 188304",0,0,0,0,0,12,33,56,71,73,66,60,62,73,86,93,91,80,65,48,33,21,12,5
62,ChIJNSYCn4IclkYRsTEHqJ2m4qI,https://maps.google.com/?cid=11737126774940053937,59.55199469999999,30.1325939,Гатчина Варшавская,"Ленинградская обл., Россия, 188304",0,0,0,0,1,12,26,42,55,63,65,62,60,62,67,75,82,84,79,68,53,37,22,9
63,ChIJl2VpPHIblkYRpLeoKsCid6c,https://maps.google.com/?cid=12067292672795654052,59.55980539999999,30.103165399999998,Гатчина Балтийская,"Гатчина, Ленинградская обл., Россия, 188307",0,0,0,0,7,26,49,69,81,82,74,64,58,59,68,79,88,91,87,75,58,39,21,6
64,ChIJn5lRKTIClkYRzB1qLYjARAs,https://maps.google.com/?cid=811985523943546316,59.43583699999999,30.0912989,Прибытково,"Ленинградская обл., Россия, 188337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,0,0,0
65,ChIJ15tHoCEAlkYRkXTEwh-VSFI,https://maps.google.com/?cid=5929152873077437585,59.354655099999995,30.062352299999997,станция Сиверская,"Сиверский, Ленинградская обл., Россия, 188330",0,0,0,0,0,11,28,43,52,52,48,46,48,55,62,67,69,66,58,47,33,19,7,0
66,ChIJX1DNYzgAvkYRvmxw0N_5Gbs,https://maps.google.com/?cid=13482081699180342462,59.29629929999999,30.042415999999992,Лампово,"Ленинградская обл., Россия, 188336",0,0,0,0,6,12,12,12,12,6,6,0,0,6,37,50,31,18,18,25,18,6,0,0
67,ChIJ-8Cwa9EbvkYRw6v7fTXT4rs,https://maps.google.com/?cid=13538615656529505219,59.05554870000001,29.961418199999997,Росинка,"Ленинградская обл., Россия, 188268",0,0,0,0,0,0,0,13,26,7,0,0,0,0,2,5,10,13,13,10,7,2,0,0
68,ChIJM6d0vKQZvkYRAYSxfWhodO0,https://maps.google.com/?cid=17110415682282030081,59.01724960000001,29.948833899999997,Мшинская,"Ленинградская обл., Россия, 188268",0,0,0,0,4,10,14,16,16,15,11,7,4,3,5,11,18,22,20,11,0,0,0,0
69,ChIJSXj2Pp08vkYRhwGyb9tNvr8,https://maps.google.com/?cid=13816566311686373767,58.86441259999999,29.896408,Толмачево,"Толмачёво, Ленинградская обл., Россия, 188256",0,0,0,0,0,0,0,2,18,31,40,43,40,34,28,29,37,43,38,22,2,0,0,0
70,ChIJoRxZxnA7vkYRXk4COvsaZ9s,https://maps.google.com/?cid=15809634683219758686,58.84982170000001,29.89036239999999,Партизанская,"Ленинградская обл., Россия, 188256",0,0,0,0,0,0,0,7,28,54,77,87,84,71,56,48,46,46,46,42,34,22,10,0
71,ChIJ84Bhyc4wvkYRDX6VLo5K-B8,https://maps.google.com/?cid=2303673183927369229,58.74054779999999,29.845487,Луга,"Луга, Ленинградская обл., Россия, 188230",0,0,0,0,0,5,14,24,33,41,47,52,55,57,59,58,56,50,42,31,20,8,0,0
73,ChIJ3_Xjplc8lkYReq9wY6vb_0Y,https://maps.google.com/?cid=5116049230870392698,59.779252,30.12567569999999,Горелово,"Санкт-Петербург, Россия, 198323",0,0,0,0,0,16,46,78,98,99,83,64,53,52,57,60,58,50,39,28,17,10,3,0
74,ChIJDR6VImQ9lkYRU5jvB7nKyhs,https://maps.google.com/?cid=2002635880370509907,59.73116470000001,30.1036267,Красное Село,"Санкт-Петербург, Россия, 198320",0,0,0,0,4,21,43,64,74,69,54,37,27,29,39,53,67,75,75,67,53,36,20,7
75,ChIJ05duzPYXlkYRQyAIfUvR4VI,https://maps.google.com/?cid=5972284703020425283,59.70239960000001,30.11830349999999,Дудергоф (бывш. Можайская),"Санкт-Петербург, Россия, 198325",0,0,0,0,0,1,9,17,25,28,29,28,28,31,37,43,48,50,47,41,32,21,12,3
76,ChIJl4aC2tEZlkYRH0Q0e5IRQRQ,https://maps.google.com/?cid=1459467075074671647,59.6636257,30.1028206,Тайцы,"Тайцы, Ленинградская обл., Россия, 188340",0,0,0,0,0,6,18,32,45,54,58,56,52,51,53,59,64,66,62,52,38,23,9,0
77,ChIJ_SkmTTcalkYRo4SQdSulb5s,https://maps.google.com/?cid=11200352404368295075,59.60694870000001,30.081837100000005,Пудость,"Мыза-Ивановка, Ленинградская обл., Россия, 188352",0,0,0,0,0,0,7,15,20,20,16,9,1,0,0,0,6,14,20,21,16,6,0,0
78,ChIJe9STJgcblkYRExbpq0JKG6s,https://maps.google.com/?cid=12329530055069341203,59.5747797,30.075184399999998,Мариенбург,"Гатчина, Ленинградская обл., Россия, 188301",0,0,0,0,0,8,31,45,43,28,9,0,0,8,21,35,44,48,44,36,25,14,3,0
82,ChIJu6-FpIsJlkYR1-AMJpLkFJM,https://maps.google.com/?cid=10598347139464356055,59.46594219999999,29.627428100000003,Кикерино,"Кикерино, Ленинградская обл., Россия, 188400",0,0,0,0,0,0,0,0,0,2,8,13,17,21,24,26,28,28,24,18,8,0,0,0
83,ChIJIcj6jkvglUYR11rzy8VI3F0,https://maps.google.com/?cid=6763360754771122903,59.44171979999999,29.480035600000004,Волосово,"Волосово, Ленинградская обл., Россия, 188410",0,0,0,0,0,0,5,10,18,29,43,57,65,66,62,58,55,52,44,32,18,4,0,0
84,ChIJLxcF237LlUYR1AoTKOCJRO0,https://maps.google.com/?cid=17096941681243261652,59.368663600000005,28.601150300000004,Кингисепп,"Таможенная ул., 1, Кингисепп, Ленинградская обл., Россия, 188450",0,0,0,0,6,16,20,20,19,22,32,48,63,72,72,67,65,68,76,83,80,64,40,14
85,ChIJAa19S9ZJlEYRcWAzADYLjvU,https://maps.google.com/?cid=17694092312544764017,59.36742739999999,28.2343114,станция Ивангород-Нарвский пограничный,"Ленинградская обл., Россия, 188490",0,0,0,0,0,0,11,48,72,67,49,40,44,52,58,57,48,34,18,3,0,0,0,0
86,ChIJnWDfQeszlkYR6SZTDD2B47I,https://maps.google.com/?cid=12890288657664255721,59.990684200000004,30.3532814,Кушелевка,"Санкт-Петербург, Россия, 194021",6,1,0,0,0,6,18,35,48,53,49,40,34,36,46,59,70,74,68,57,44,31,21,13
87,ChIJjUey9FEylkYRpB2HYsARM1M,https://maps.google.com/?cid=5995155046944677284,59.9882382,30.4246564,Пискарёвка,"Санкт-Петербург, Россия, 195067",15,7,1,0,0,6,27,57,77,72,54,40,40,47,57,65,70,72,70,65,56,46,35,24
88,ChIJv5ad8X4tlkYRYokSmHDZL2A,https://maps.google.com/?cid=6930997429157398882,59.98135349999999,30.5140391,Ржевка,"Санкт-Петербург, Россия, 195043",7,0,0,0,0,12,33,55,67,66,56,45,40,44,51,60,67,71,70,64,55,43,30,17
89,ChIJEZRAfHItlkYRkTmxvycJKiQ,https://maps.google.com/?cid=2605905400711690641,59.98016759999999,30.5486511,Пост Ковалёво,"Санкт-Петербург, Россия, 195043",0,0,0,0,0,0,7,12,12,9,1,0,0,0,0,7,41,78,100,96,69,29,0,0
90,ChIJzYCnJ2stlkYR_Jg3BZdChKs,https://maps.google.com/?cid=12359076493806508284,59.9870908,30.5633434,Ковалёво,"Ленинградская обл., Россия, 188641",0,0,0,0,0,0,0,2,9,18,25,30,30,26,19,11,6,2,0,0,0,0,0,0
91,ChIJ-_pZgczSl0YRarB6jQoIa5s,https://maps.google.com/?cid=11199053739803193450,60.00720639999999,30.605872899999998,Бернгардовка,"Всеволожск, Ленинградская обл., Россия, 188641",0,0,0,0,0,4,26,53,69,63,45,34,33,39,49,58,65,68,66,59,48,34,20,8
92,ChIJL-NzIt_Sl0YRUnoxtrbkOmI,https://maps.google.com/?cid=7078221237758032466,60.014678,30.64973029999999,Всеволожская,"Всеволожск, Ленинградская обл., Россия, 188640",0,0,0,0,0,2,26,71,71,50,51,54,54,54,59,70,81,88,84,71,52,32,16,6
93,ChIJhRT9zBvTl0YRe6fKsaX4-F0,https://maps.google.com/?cid=6771435430287681403,60.01961310000001,30.6802973,Мельничный Ручей,"Всеволожск, Ленинградская обл., Россия, 188642",0,0,0,0,0,4,42,79,93,78,50,31,27,34,45,54,61,63,60,54,43,30,17,3
94,ChIJj9YRaKTTl0YRkUG3Y94htK0,https://maps.google.com/?cid=12516666503408861585,60.03589350000001,30.719552399999998,Романовка,"Ленинградская обл., Россия, 188670",0,0,0,0,0,7,35,51,42,13,0,0,0,0,0,0,0,0,0,0,2,5,4,1
